date,TLRY_unscaled,TLRY_monthly,isPartial,scale,TLRY
2016-06-01,0,0.0,False,0.0,0.0
2016-06-02,0,0.0,,0.0,0.0
2016-06-03,0,0.0,,0.0,0.0
2016-06-04,0,0.0,,0.0,0.0
2016-06-05,0,0.0,,0.0,0.0
2016-06-06,0,0.0,,0.0,0.0
2016-06-07,0,0.0,,0.0,0.0
2016-06-08,0,0.0,,0.0,0.0
2016-06-09,0,0.0,,0.0,0.0
2016-06-10,0,0.0,,0.0,0.0
2016-06-11,0,0.0,,0.0,0.0
2016-06-12,0,0.0,,0.0,0.0
2016-06-13,0,0.0,,0.0,0.0
2016-06-14,0,0.0,,0.0,0.0
2016-06-15,0,0.0,,0.0,0.0
2016-06-16,0,0.0,,0.0,0.0
2016-06-17,0,0.0,,0.0,0.0
2016-06-18,0,0.0,,0.0,0.0
2016-06-19,0,0.0,,0.0,0.0
2016-06-20,0,0.0,,0.0,0.0
2016-06-21,0,0.0,,0.0,0.0
2016-06-22,0,0.0,,0.0,0.0
2016-06-23,100,0.0,,0.0,0.0
2016-06-24,0,0.0,,0.0,0.0
2016-06-25,0,0.0,,0.0,0.0
2016-06-26,0,0.0,,0.0,0.0
2016-06-27,0,0.0,,0.0,0.0
2016-06-28,0,0.0,,0.0,0.0
2016-06-29,0,0.0,,0.0,0.0
2016-06-30,0,0.0,,0.0,0.0
2016-12-01,0,0.0,False,0.0,0.0
2016-12-02,0,0.0,,0.0,0.0
2016-12-03,0,0.0,,0.0,0.0
2016-12-04,0,0.0,,0.0,0.0
2016-12-05,0,0.0,,0.0,0.0
2016-12-06,0,0.0,,0.0,0.0
2016-12-07,0,0.0,,0.0,0.0
2016-12-08,0,0.0,,0.0,0.0
2016-12-09,0,0.0,,0.0,0.0
2016-12-10,0,0.0,,0.0,0.0
2016-12-11,0,0.0,,0.0,0.0
2016-12-12,99,0.0,,0.0,0.0
2016-12-13,100,0.0,,0.0,0.0
2016-12-14,0,0.0,,0.0,0.0
2016-12-15,0,0.0,,0.0,0.0
2016-12-16,0,0.0,,0.0,0.0
2016-12-17,0,0.0,,0.0,0.0
2016-12-18,0,0.0,,0.0,0.0
2016-12-19,0,0.0,,0.0,0.0
2016-12-20,0,0.0,,0.0,0.0
2016-12-21,0,0.0,,0.0,0.0
2016-12-22,0,0.0,,0.0,0.0
2016-12-23,0,0.0,,0.0,0.0
2016-12-24,0,0.0,,0.0,0.0
2016-12-25,0,0.0,,0.0,0.0
2016-12-26,0,0.0,,0.0,0.0
2016-12-27,0,0.0,,0.0,0.0
2016-12-28,0,0.0,,0.0,0.0
2016-12-29,0,0.0,,0.0,0.0
2016-12-30,0,0.0,,0.0,0.0
2016-12-31,0,0.0,,0.0,0.0
2017-04-01,0,0.0,False,0.0,0.0
2017-04-02,100,0.0,,0.0,0.0
2017-04-03,0,0.0,,0.0,0.0
2017-04-04,0,0.0,,0.0,0.0
2017-04-05,0,0.0,,0.0,0.0
2017-04-06,0,0.0,,0.0,0.0
2017-04-07,0,0.0,,0.0,0.0
2017-04-08,0,0.0,,0.0,0.0
2017-04-09,0,0.0,,0.0,0.0
2017-04-10,0,0.0,,0.0,0.0
2017-04-11,0,0.0,,0.0,0.0
2017-04-12,0,0.0,,0.0,0.0
2017-04-13,0,0.0,,0.0,0.0
2017-04-14,0,0.0,,0.0,0.0
2017-04-15,0,0.0,,0.0,0.0
2017-04-16,0,0.0,,0.0,0.0
2017-04-17,0,0.0,,0.0,0.0
2017-04-18,0,0.0,,0.0,0.0
2017-04-19,0,0.0,,0.0,0.0
2017-04-20,0,0.0,,0.0,0.0
2017-04-21,0,0.0,,0.0,0.0
2017-04-22,0,0.0,,0.0,0.0
2017-04-23,0,0.0,,0.0,0.0
2017-04-24,0,0.0,,0.0,0.0
2017-04-25,0,0.0,,0.0,0.0
2017-04-26,0,0.0,,0.0,0.0
2017-04-27,0,0.0,,0.0,0.0
2017-04-28,0,0.0,,0.0,0.0
2017-04-29,0,0.0,,0.0,0.0
2017-04-30,0,0.0,,0.0,0.0
2017-05-01,0,0.0,False,0.0,0.0
2017-05-02,0,0.0,,0.0,0.0
2017-05-03,0,0.0,,0.0,0.0
2017-05-04,0,0.0,,0.0,0.0
2017-05-05,0,0.0,,0.0,0.0
2017-05-06,0,0.0,,0.0,0.0
2017-05-07,100,0.0,,0.0,0.0
2017-05-08,0,0.0,,0.0,0.0
2017-05-09,0,0.0,,0.0,0.0
2017-05-10,0,0.0,,0.0,0.0
2017-05-11,0,0.0,,0.0,0.0
2017-05-12,0,0.0,,0.0,0.0
2017-05-13,0,0.0,,0.0,0.0
2017-05-14,0,0.0,,0.0,0.0
2017-05-15,0,0.0,,0.0,0.0
2017-05-16,0,0.0,,0.0,0.0
2017-05-17,0,0.0,,0.0,0.0
2017-05-18,0,0.0,,0.0,0.0
2017-05-19,0,0.0,,0.0,0.0
2017-05-20,0,0.0,,0.0,0.0
2017-05-21,0,0.0,,0.0,0.0
2017-05-22,0,0.0,,0.0,0.0
2017-05-23,84,0.0,,0.0,0.0
2017-05-24,0,0.0,,0.0,0.0
2017-05-25,0,0.0,,0.0,0.0
2017-05-26,0,0.0,,0.0,0.0
2017-05-27,0,0.0,,0.0,0.0
2017-05-28,0,0.0,,0.0,0.0
2017-05-29,0,0.0,,0.0,0.0
2017-05-30,0,0.0,,0.0,0.0
2017-05-31,0,0.0,,0.0,0.0
2017-06-01,0,0.0,False,0.0,0.0
2017-06-02,0,0.0,,0.0,0.0
2017-06-03,0,0.0,,0.0,0.0
2017-06-04,0,0.0,,0.0,0.0
2017-06-05,92,0.0,,0.0,0.0
2017-06-06,0,0.0,,0.0,0.0
2017-06-07,0,0.0,,0.0,0.0
2017-06-08,0,0.0,,0.0,0.0
2017-06-09,98,0.0,,0.0,0.0
2017-06-10,0,0.0,,0.0,0.0
2017-06-11,0,0.0,,0.0,0.0
2017-06-12,0,0.0,,0.0,0.0
2017-06-13,0,0.0,,0.0,0.0
2017-06-14,92,0.0,,0.0,0.0
2017-06-15,0,0.0,,0.0,0.0
2017-06-16,0,0.0,,0.0,0.0
2017-06-17,0,0.0,,0.0,0.0
2017-06-18,0,0.0,,0.0,0.0
2017-06-19,0,0.0,,0.0,0.0
2017-06-20,0,0.0,,0.0,0.0
2017-06-21,0,0.0,,0.0,0.0
2017-06-22,0,0.0,,0.0,0.0
2017-06-23,0,0.0,,0.0,0.0
2017-06-24,0,0.0,,0.0,0.0
2017-06-25,0,0.0,,0.0,0.0
2017-06-26,0,0.0,,0.0,0.0
2017-06-27,0,0.0,,0.0,0.0
2017-06-28,100,0.0,,0.0,0.0
2017-06-29,0,0.0,,0.0,0.0
2017-06-30,0,0.0,,0.0,0.0
2017-07-01,0,0.0,False,0.0,0.0
2017-07-02,0,0.0,,0.0,0.0
2017-07-03,0,0.0,,0.0,0.0
2017-07-04,0,0.0,,0.0,0.0
2017-07-05,0,0.0,,0.0,0.0
2017-07-06,0,0.0,,0.0,0.0
2017-07-07,0,0.0,,0.0,0.0
2017-07-08,0,0.0,,0.0,0.0
2017-07-09,0,0.0,,0.0,0.0
2017-07-10,0,0.0,,0.0,0.0
2017-07-11,0,0.0,,0.0,0.0
2017-07-12,0,0.0,,0.0,0.0
2017-07-13,0,0.0,,0.0,0.0
2017-07-14,0,0.0,,0.0,0.0
2017-07-15,0,0.0,,0.0,0.0
2017-07-16,0,0.0,,0.0,0.0
2017-07-17,86,0.0,,0.0,0.0
2017-07-18,0,0.0,,0.0,0.0
2017-07-19,87,0.0,,0.0,0.0
2017-07-20,0,0.0,,0.0,0.0
2017-07-21,0,0.0,,0.0,0.0
2017-07-22,0,0.0,,0.0,0.0
2017-07-23,100,0.0,,0.0,0.0
2017-07-24,0,0.0,,0.0,0.0
2017-07-25,0,0.0,,0.0,0.0
2017-07-26,0,0.0,,0.0,0.0
2017-07-27,0,0.0,,0.0,0.0
2017-07-28,0,0.0,,0.0,0.0
2017-07-29,0,0.0,,0.0,0.0
2017-07-30,0,0.0,,0.0,0.0
2017-07-31,0,0.0,,0.0,0.0
2017-08-01,0,0.0,False,0.0,0.0
2017-08-02,0,0.0,,0.0,0.0
2017-08-03,0,0.0,,0.0,0.0
2017-08-04,0,0.0,,0.0,0.0
2017-08-05,0,0.0,,0.0,0.0
2017-08-06,0,0.0,,0.0,0.0
2017-08-07,0,0.0,,0.0,0.0
2017-08-08,0,0.0,,0.0,0.0
2017-08-09,0,0.0,,0.0,0.0
2017-08-10,0,0.0,,0.0,0.0
2017-08-11,0,0.0,,0.0,0.0
2017-08-12,0,0.0,,0.0,0.0
2017-08-13,0,0.0,,0.0,0.0
2017-08-14,0,0.0,,0.0,0.0
2017-08-15,0,0.0,,0.0,0.0
2017-08-16,0,0.0,,0.0,0.0
2017-08-17,0,0.0,,0.0,0.0
2017-08-18,100,0.0,,0.0,0.0
2017-08-19,0,0.0,,0.0,0.0
2017-08-20,0,0.0,,0.0,0.0
2017-08-21,0,0.0,,0.0,0.0
2017-08-22,0,0.0,,0.0,0.0
2017-08-23,0,0.0,,0.0,0.0
2017-08-24,0,0.0,,0.0,0.0
2017-08-25,0,0.0,,0.0,0.0
2017-08-26,0,0.0,,0.0,0.0
2017-08-27,0,0.0,,0.0,0.0
2017-08-28,0,0.0,,0.0,0.0
2017-08-29,0,0.0,,0.0,0.0
2017-08-30,0,0.0,,0.0,0.0
2017-08-31,0,0.0,,0.0,0.0
