date,USO_unscaled,USO_monthly,isPartial,scale,USO
2016-05-01,48,25.0,False,0.25,12.0
2016-05-02,87,25.0,,0.25,21.75
2016-05-03,97,25.0,,0.25,24.25
2016-05-04,97,25.0,,0.25,24.25
2016-05-05,78,25.0,,0.25,19.5
2016-05-06,100,25.0,,0.25,25.0
2016-05-07,71,25.0,,0.25,17.75
2016-05-08,51,25.0,,0.25,12.75
2016-05-09,82,25.0,,0.25,20.5
2016-05-10,84,25.0,,0.25,21.0
2016-05-11,84,25.0,,0.25,21.0
2016-05-12,86,25.0,,0.25,21.5
2016-05-13,92,25.0,,0.25,23.0
2016-05-14,69,25.0,,0.25,17.25
2016-05-15,68,25.0,,0.25,17.0
2016-05-16,94,25.0,,0.25,23.5
2016-05-17,96,25.0,,0.25,24.0
2016-05-18,92,25.0,,0.25,23.0
2016-05-19,92,25.0,,0.25,23.0
2016-05-20,92,25.0,,0.25,23.0
2016-05-21,66,25.0,,0.25,16.5
2016-05-22,54,25.0,,0.25,13.5
2016-05-23,96,25.0,,0.25,24.0
2016-05-24,96,25.0,,0.25,24.0
2016-05-25,98,25.0,,0.25,24.5
2016-05-26,85,25.0,,0.25,21.25
2016-05-27,88,25.0,,0.25,22.0
2016-05-28,59,25.0,,0.25,14.75
2016-05-29,83,25.0,,0.25,20.75
2016-05-30,76,25.0,,0.25,19.0
2016-05-31,84,25.0,,0.25,21.0
2016-06-01,76,23.0,False,0.23,17.48
2016-06-02,91,23.0,,0.23,20.93
2016-06-03,71,23.0,,0.23,16.330000000000002
2016-06-04,56,23.0,,0.23,12.88
2016-06-05,62,23.0,,0.23,14.26
2016-06-06,72,23.0,,0.23,16.560000000000002
2016-06-07,81,23.0,,0.23,18.630000000000003
2016-06-08,100,23.0,,0.23,23.0
2016-06-09,77,23.0,,0.23,17.71
2016-06-10,81,23.0,,0.23,18.630000000000003
2016-06-11,56,23.0,,0.23,12.88
2016-06-12,53,23.0,,0.23,12.190000000000001
2016-06-13,80,23.0,,0.23,18.400000000000002
2016-06-14,63,23.0,,0.23,14.49
2016-06-15,76,23.0,,0.23,17.48
2016-06-16,86,23.0,,0.23,19.78
2016-06-17,76,23.0,,0.23,17.48
2016-06-18,68,23.0,,0.23,15.64
2016-06-19,62,23.0,,0.23,14.26
2016-06-20,73,23.0,,0.23,16.79
2016-06-21,87,23.0,,0.23,20.01
2016-06-22,75,23.0,,0.23,17.25
2016-06-23,65,23.0,,0.23,14.950000000000001
2016-06-24,87,23.0,,0.23,20.01
2016-06-25,58,23.0,,0.23,13.34
2016-06-26,52,23.0,,0.23,11.96
2016-06-27,83,23.0,,0.23,19.09
2016-06-28,74,23.0,,0.23,17.02
2016-06-29,81,23.0,,0.23,18.630000000000003
