,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,KNOW_unscaled,KNOW_monthly,isPartial,scale,KNOW,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-06,3,0.016743073047858943,0.08134049129656762,KNOW,35.70000076293945,35.92499923706055,35.599998474121094,35.900001525878906,29.198280334472656,19000,86,85.0,,0.85,73.1,,
1,2016-05-10,1,0.015483627204030227,-0.07522190461862499,KNOW,35.90999984741211,36.209999084472656,35.90999984741211,36.209999084472656,29.450410842895508,23600,92,85.0,,0.85,78.2,0.2849998474121094,0.007933190075564367
2,2016-05-12,2,0.016113350125944583,0.0406702456482837,KNOW,35.970001220703125,35.970001220703125,35.584999084472656,35.76499938964844,29.088478088378903,22200,95,85.0,,0.85,80.75,-0.23999786376953125,-0.006627944485987136
3,2016-05-25,5,0.01800251889168766,0.11724245740190731,KNOW,36.33000183105469,36.5099983215332,36.33000183105469,36.494998931884766,29.682205200195312,12400,91,85.0,,0.85,77.35,0.5399971008300781,0.015012429316217935
4,2016-05-26,5,0.01800251889168766,0.0,KNOW,36.48500061035156,36.54499816894531,36.42499923706055,36.4900016784668,29.67813491821289,10200,92,85.0,,0.85,78.2,0.034999847412109375,0.0009586373328169806
5,2016-06-16,1,0.015483627204030227,-0.28911761304498673,KNOW,36.05500030517578,36.15999984741211,35.72999954223633,36.150001525878906,29.4016056060791,18000,100,83.0,,0.83,83.0,-0.3849983215332031,-0.010534911501524191
6,2016-06-21,2,0.016113350125944583,0.0406702456482837,KNOW,36.584999084472656,36.584999084472656,36.275001525878906,36.43000030517578,29.75555229187012,21800,95,83.0,,0.83,78.85,0.4249992370605469,0.011753297534678131
7,2016-06-24,2,0.016113350125944583,0.0,KNOW,35.560001373291016,36.06499862670898,35.42499923706055,35.599998474121094,29.077617645263672,49800,90,83.0,,0.83,74.7,-0.520000457763679,-0.014213488336108138
8,2016-07-01,8,0.019891687657430733,0.2846917195379861,KNOW,36.43000030517578,36.59999847412109,36.400001525878906,36.5,29.812742233276367,49000,90,83.0,False,0.83,74.7,0.5349998474121094,0.0148343232436976
9,2016-07-12,6,0.018632241813602016,0.5105166428425569,KNOW,37.44499969482422,37.630001068115234,37.40499877929688,37.53499984741211,30.658105850219727,26200,96,83.0,,0.83,79.67999999999999,1.0300025939941477,0.02814214855015451
10,2016-07-14,25,0.030596977329974812,0.6421522238745436,KNOW,37.79499816894531,37.79499816894531,37.6349983215332,37.685001373291016,30.780628204345703,19400,94,83.0,,0.83,78.02,0.16499710083007812,0.004384722193640389
11,2016-07-15,-1,0.01422418136020151,-0.5351115501769985,KNOW,37.8849983215332,37.8849983215332,37.57500076293945,37.67499923706055,30.772462844848636,18400,90,83.0,,0.83,74.7,0.09000015258789062,0.002381271516024075
12,2016-07-18,1,0.015483627204030227,-0.03908081913396899,KNOW,37.77999877929688,37.77999877929688,37.65999984741211,37.720001220703125,30.80921173095703,14600,100,83.0,,0.83,83.0,-0.10499954223632102,-0.0027715335063547286
13,2016-07-21,1,0.015483627204030227,0.0,KNOW,37.625,37.625,37.345001220703125,37.38999938964844,30.5396785736084,16000,99,83.0,,0.83,82.17,-0.1549987792968821,-0.0041026676629174474
14,2016-07-25,2,0.016113350125944583,0.0406702456482837,KNOW,37.65999984741211,37.65999984741211,37.44499969482422,37.560001373291016,30.678525924682617,17800,97,83.0,,0.83,80.50999999999999,0.034999847412109375,0.0009302285026473456
15,2016-08-04,1,0.015483627204030227,-0.03908081913396899,KNOW,37.59999847412109,37.59999847412109,37.43999862670898,37.47499847412109,30.60909652709961,24000,92,81.0,,0.81,74.52000000000001,-0.06000137329102273,-0.0015932388086599136
16,2016-08-05,6,0.018632241813602016,0.2033512282414187,KNOW,37.75,37.86000061035156,37.66999816894531,37.81499862670898,30.88681030273437,32400,85,81.0,,0.81,68.85000000000001,0.26000213623047586,0.00691495071228343
17,2016-08-11,1,0.015483627204030227,-0.16898742733540628,KNOW,37.81499862670898,37.81499862670898,37.68000030517578,37.77000045776367,30.85005760192871,27000,90,81.0,,0.81,72.9,-0.04500198364258523,-0.001188641915401356
18,2016-08-12,1,0.015483627204030227,0.0,KNOW,37.84000015258789,37.84000015258789,37.59000015258789,37.665000915527344,30.7642879486084,19000,83,81.0,,0.81,67.23,0.025001525878913355,0.0006611536899872039
19,2016-08-18,12,0.022410579345088163,0.4473727021311209,KNOW,37.56999969482422,37.75,37.56999969482422,37.75,30.83371925354004,12800,85,81.0,,0.81,68.85000000000001,-0.09000015258789062,-0.002378439540829058
20,2016-08-25,4,0.0173727959697733,-0.22479487467685744,KNOW,37.47499847412109,37.72999954223633,37.47499847412109,37.59000015258789,30.703031539916992,13000,100,81.0,,0.81,81.0,-0.020000457763671875,-0.0005298134506932506
21,2016-09-01,1,0.015483627204030227,-0.10874293170943894,KNOW,37.69499969482422,37.69499969482422,37.3650016784668,37.5099983215332,30.63769149780273,20200,81,84.0,False,0.84,68.03999999999999,-0.034999847412109375,-0.0009276397518354074
22,2016-09-07,-1,0.01422418136020151,-0.042394437849754274,KNOW,37.869998931884766,37.88999938964844,37.75,37.8849983215332,30.943981170654297,16200,86,84.0,,0.84,72.24,0.19499969482421875,0.005173091826579768
23,2016-09-08,1,0.015483627204030227,0.08854258898530198,KNOW,37.88999938964844,37.88999938964844,37.75,37.7599983215332,30.841876983642575,6000,94,84.0,,0.84,78.96,0.0,0.0
24,2016-09-09,5,0.01800251889168766,0.16268098259313502,KNOW,37.525001525878906,37.525001525878906,36.92499923706055,36.93000030517578,30.163957595825195,11000,89,84.0,,0.84,74.75999999999999,-0.36499786376953125,-0.009633092363396822
25,2016-09-12,3,0.016743073047858943,-0.06995942353435014,KNOW,36.755001068115234,37.435001373291016,36.755001068115234,37.415000915527344,30.56009864807129,10200,89,84.0,,0.84,74.75999999999999,-0.09000015258789062,-0.002398405034729212
