,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BP_unscaled,BP_monthly,isPartial,scale,BP,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.008246376811594203,0.0,BP,33.619998931884766,33.75,33.29999923706055,33.619998931884766,23.12992477416992,6543300,100,60.0,,0.6,60.0,,
1,2016-05-04,2,0.015492753623188405,0.8787346221441124,BP,31.71999931335449,31.959999084472656,31.26000022888184,31.420000076293945,22.022178649902344,9827800,86,60.0,,0.6,51.6,-1.7900009155273438,-0.053037064163773184
2,2016-05-13,1,0.008246376811594203,-0.46772684752104765,BP,31.46999931335449,31.76000022888184,31.350000381469727,31.46999931335449,22.057222366333008,6689300,87,60.0,,0.6,52.2,-0.19999885559081676,-0.00625778664956167
3,2016-05-20,1,0.008246376811594203,0.0,BP,31.979999542236328,32.2400016784668,31.729999542236328,31.93000030517578,22.379638671875,6709400,94,60.0,,0.6,56.4,0.4800014495849574,0.015113395658872042
4,2016-05-27,1,0.008246376811594203,0.0,BP,32.2400016784668,32.369998931884766,32.06999969482422,32.36000061035156,22.6810245513916,6375200,88,60.0,,0.6,52.8,0.12999725341796875,0.00403217266284428
5,2016-06-03,2,0.015492753623188405,-0.31867431485022313,BP,31.81999969482422,32.02000045776367,31.520000457763672,31.8799991607666,22.34458923339844,12365800,69,62.0,,0.62,42.78,-0.34999847412109375,-0.010812433910102559
6,2016-06-13,1,0.008246376811594203,-0.46772684752104765,BP,31.790000915527344,32.31999969482422,31.71999931335449,31.86000061035156,22.330570220947266,8540500,62,62.0,,0.62,38.44,0.2999992370605469,0.009369120323913238
7,2016-06-24,1,0.008246376811594203,0.0,BP,32.029998779296875,33.529998779296875,32.02000045776367,32.97999954223633,23.115577697753903,34583800,100,62.0,,0.62,62.0,1.2099990844726562,0.037438090838423754
8,2016-06-29,1,0.008246376811594203,0.0,BP,34.15999984741211,35.08000183105469,33.849998474121094,34.790000915527344,24.384204864501957,17381300,73,62.0,,0.62,45.26,1.5500030517578125,0.04622735186959992
9,2016-07-07,1,0.008246376811594203,0.0,BP,36.02000045776367,36.040000915527344,35.15999984741211,35.400001525878906,24.811750411987305,8900900,90,59.0,,0.59,53.1,0.9599990844726562,0.027365992997834265
10,2016-07-11,1,0.008246376811594203,0.0,BP,36.060001373291016,36.22999954223633,35.97999954223633,36.11000061035156,25.30938720703125,6900300,100,59.0,,0.59,59.0,0.18999862670898438,0.005271881850233973
11,2016-07-13,1,0.008246376811594203,0.0,BP,37.09999847412109,37.27999877929688,36.27000045776367,36.560001373291016,25.62478828430176,8622500,98,59.0,,0.59,57.82,1.049999237060554,0.02898148634632136
12,2016-07-18,1,0.008246376811594203,0.0,BP,36.2400016784668,36.33000183105469,36.02999877929688,36.16999816894531,25.351436614990234,5608500,92,59.0,,0.59,54.28,-0.9499969482421946,-0.025482751591981434
13,2016-07-21,2,0.015492753623188405,0.8787346221441124,BP,35.83000183105469,36.25,35.77000045776367,35.84000015258789,25.120141983032227,3949500,91,59.0,,0.59,53.69,-0.0800018310546875,-0.0022020871737556957
14,2016-07-22,2,0.015492753623188405,0.0,BP,35.869998931884766,35.91999816894531,35.65999984741211,35.869998931884766,25.14116477966309,5635600,87,59.0,,0.59,51.33,-0.3300018310546875,-0.009103498787715547
15,2016-07-25,2,0.015492753623188405,0.0,BP,35.459999084472656,35.4900016784668,34.72999954223633,34.900001525878906,24.4612979888916,10941300,89,59.0,,0.59,52.51,-0.4299964904785156,-0.01197094967700385
16,2016-07-28,2,0.015492753623188405,0.0,BP,34.41999816894531,34.470001220703125,33.90999984741211,33.9900016784668,23.823488235473636,9295000,90,59.0,,0.59,53.1,-1.0200004577636719,-0.028740501818080966
